{'SQL:  select count(*) from singer\n', 'Question 1:  How many singers do we have ? ||| concert_singer\n'}
{'SQL:  select section_name from sections order by section_name desc\n', 'Question 528:  List the section_name in reversed lexicographical order . ||| student_transcripts_tracking\n'}
{'Question 529:  What are the names of the sections in reverse alphabetical order ? ||| student_transcripts_tracking\n', 'SQL:  select section_name from sections order by section_name desc\n'}
{'SQL:  select t1.semester_name ,  t1.semester_id from semesters as t1 join student_enrolment as t2 on t1.semester_id  =  t2.semester_id group by t1.semester_id order by count(*) desc limit 1\n', 'Question 530:  What is the semester which most student registered in ? Show both the name and the id . ||| student_transcripts_tracking\n'}
{'SQL:  select t1.semester_name ,  t1.semester_id from semesters as t1 join student_enrolment as t2 on t1.semester_id  =  t2.semester_id group by t1.semester_id order by count(*) desc limit 1\n', 'Question 531:  For each semester , what is the name and id of the one with the most students registered ? ||| student_transcripts_tracking\n'}
{"SQL:  select department_description from departments where department_name like '%computer%'\n", 'Question 532:  What is the description of the department whose name has the substring the computer ? ||| student_transcripts_tracking\n'}
{"SQL:  select department_description from departments where department_name like '%computer%'\n", 'Question 533:  What is the department description for the one whose name has the word computer ? ||| student_transcripts_tracking\n'}
{'SQL:  select t1.first_name ,  t1.middle_name ,  t1.last_name ,  t1.student_id from students as t1 join student_enrolment as t2 on t1.student_id  =  t2.student_id group by t1.student_id having count(*)  =  2\n', 'Question 534:  Who are enrolled in 2 degree programs in one semester ? List the first name , middle name and last name and the id . ||| student_transcripts_tracking\n'}
{'Question 535:  What are the first , middle , and last names , along with the ids , of all students who enrolled in 2 degree programs in one semester ? ||| student_transcripts_tracking\n', 'SQL:  select t1.first_name ,  t1.middle_name ,  t1.last_name ,  t1.student_id from students as t1 join student_enrolment as t2 on t1.student_id  =  t2.student_id group by t1.student_id having count(*)  =  2\n'}
{'Question 536:  Who is enrolled in a Bachelor degree program ? List the first name , middle name , last name . ||| student_transcripts_tracking\n', "SQL:  select distinct t1.first_name ,  t1.middle_name ,  t1.last_name from students as t1 join student_enrolment as t2 on t1.student_id  =  t2.student_id join degree_programs as t3 on t2.degree_program_id  =  t3.degree_program_id where t3.degree_summary_name  =  'bachelor'\n"}
{"SQL:  select distinct t1.first_name ,  t1.middle_name ,  t1.last_name from students as t1 join student_enrolment as t2 on t1.student_id  =  t2.student_id join degree_programs as t3 on t2.degree_program_id  =  t3.degree_program_id where t3.degree_summary_name  =  'bachelor'\n", 'Question 537:  What are the first , middle , and last names for everybody enrolled in a Bachelors program ? ||| student_transcripts_tracking\n'}
{'SQL:  select t1.degree_summary_name from degree_programs as t1 join student_enrolment as t2 on t1.degree_program_id  =  t2.degree_program_id group by t1.degree_summary_name order by count(*) desc limit 1\n', 'Question 538:  Find the kind of program which most number of students are enrolled in ? ||| student_transcripts_tracking\n'}
{'Question 539:  What is the degree summary name that has the most number of students enrolled ? ||| student_transcripts_tracking\n', 'SQL:  select t1.degree_summary_name from degree_programs as t1 join student_enrolment as t2 on t1.degree_program_id  =  t2.degree_program_id group by t1.degree_summary_name order by count(*) desc limit 1\n'}
{'Question 540:  Find the program which most number of students are enrolled in . List both the id and the summary . ||| student_transcripts_tracking\n', 'SQL:  select t1.degree_program_id ,  t1.degree_summary_name from degree_programs as t1 join student_enrolment as t2 on t1.degree_program_id  =  t2.degree_program_id group by t1.degree_program_id order by count(*) desc limit 1\n'}
{'Question 541:  What is the program id and the summary of the degree that has the most students enrolled ? ||| student_transcripts_tracking\n', 'SQL:  select t1.degree_program_id ,  t1.degree_summary_name from degree_programs as t1 join student_enrolment as t2 on t1.degree_program_id  =  t2.degree_program_id group by t1.degree_program_id order by count(*) desc limit 1\n'}
{'Question 542:  Which student has enrolled for the most times in any program ? List the id , first name , middle name , last name , the number of enrollments and student id . ||| student_transcripts_tracking\n', 'SQL:  select t1.student_id ,  t1.first_name ,  t1.middle_name ,  t1.last_name ,  count(*) ,  t1.student_id from students as t1 join student_enrolment as t2 on t1.student_id  =  t2.student_id group by t1.student_id order by count(*) desc limit 1\n'}
{'SQL:  select t1.student_id ,  t1.first_name ,  t1.middle_name ,  t1.last_name ,  count(*) ,  t1.student_id from students as t1 join student_enrolment as t2 on t1.student_id  =  t2.student_id group by t1.student_id order by count(*) desc limit 1\n', 'Question 543:  What is the first , middle , and last name , along with the id and number of enrollments , for the student who enrolled the most in any program ? ||| student_transcripts_tracking\n'}
{'Question 544:  Which semesters do not have any student enrolled ? List the semester name . ||| student_transcripts_tracking\n', 'SQL:  select semester_name from semesters where semester_id not in( select semester_id from student_enrolment )\n'}
{'Question 545:  What is the name of the semester with no students enrolled ? ||| student_transcripts_tracking\n', 'SQL:  select semester_name from semesters where semester_id not in( select semester_id from student_enrolment )\n'}
{'Question 546:  What are all the course names of the courses which ever have students enrolled in ? ||| student_transcripts_tracking\n', 'SQL:  select distinct t1.course_name from courses as t1 join student_enrolment_courses as t2 on t1.course_id  =  t2.course_id\n'}
{'Question 547:  What are the names of all courses that have some students enrolled ? ||| student_transcripts_tracking\n', 'SQL:  select distinct t1.course_name from courses as t1 join student_enrolment_courses as t2 on t1.course_id  =  t2.course_id\n'}
{'SQL:  select  t1.course_name from courses as t1 join student_enrolment_courses as t2 on t1.course_id  =  t2.course_id group by t1.course_name order by count(*) desc limit 1\n', "Question 548:  What 's the name of the course with most number of enrollments ? ||| student_transcripts_tracking\n"}
{'SQL:  select  t1.course_name from courses as t1 join student_enrolment_courses as t2 on t1.course_id  =  t2.course_id group by t1.course_name order by count(*) desc limit 1\n', 'Question 549:  What is the name of the course with the most students enrolled ? ||| student_transcripts_tracking\n'}
{'Question 550:  Find the last name of the students who currently live in the state of North Carolina but have not registered in any degree program . ||| student_transcripts_tracking\n', "SQL:  select t1.last_name from students as t1 join addresses as t2 on t1.current_address_id  =  t2.address_id where t2.state_province_county  =  'northcarolina' except select distinct t3.last_name from students as t3 join student_enrolment as t4 on t3.student_id  =  t4.student_id\n"}
{'Question 551:  What are the last name of the students who live in North Carolina but have not registered in any degree programs ? ||| student_transcripts_tracking\n', "SQL:  select t1.last_name from students as t1 join addresses as t2 on t1.current_address_id  =  t2.address_id where t2.state_province_county  =  'northcarolina' except select distinct t3.last_name from students as t3 join student_enrolment as t4 on t3.student_id  =  t4.student_id\n"}
{'SQL:  select t2.transcript_date ,  t1.transcript_id from transcript_contents as t1 join transcripts as t2 on t1.transcript_id  =  t2.transcript_id group by t1.transcript_id having count(*)  >=  2\n', 'Question 552:  Show the date and id of the transcript with at least 2 course results . ||| student_transcripts_tracking\n'}
{'Question 553:  What is the date and id of the transcript with at least 2 courses listed ? ||| student_transcripts_tracking\n', 'SQL:  select t2.transcript_date ,  t1.transcript_id from transcript_contents as t1 join transcripts as t2 on t1.transcript_id  =  t2.transcript_id group by t1.transcript_id having count(*)  >=  2\n'}
{'Question 554:  What is the phone number of the man with the first name Timmothy and the last name Ward ? ||| student_transcripts_tracking\n', "SQL:  select cell_mobile_number from students where first_name  =  'timmothy' and last_name  =  'ward'\n"}
{'Question 555:  What is the mobile phone number of the student named Timmothy Ward ? ||| student_transcripts_tracking\n', "SQL:  select cell_mobile_number from students where first_name  =  'timmothy' and last_name  =  'ward'\n"}
{'SQL:  select first_name ,  middle_name ,  last_name from students order by date_first_registered asc limit 1\n', 'Question 556:  Who is the first student to register ? List the first name , middle name and last name . ||| student_transcripts_tracking\n'}
{'SQL:  select first_name ,  middle_name ,  last_name from students order by date_first_registered asc limit 1\n', 'Question 557:  What is the first , middle , and last name of the first student to register ? ||| student_transcripts_tracking\n'}
{'Question 558:  Who is the earliest graduate of the school ? List the first name , middle name and last name . ||| student_transcripts_tracking\n', 'SQL:  select first_name ,  middle_name ,  last_name from students order by date_left asc limit 1\n'}
{'Question 559:  What is the first , middle , and last name of the earliest school graduate ? ||| student_transcripts_tracking\n', 'SQL:  select first_name ,  middle_name ,  last_name from students order by date_left asc limit 1\n'}
{'SQL:  select first_name from students where current_address_id != permanent_address_id\n', 'Question 560:  Whose permanent address is different from his or her current address ? List his or her first name . ||| student_transcripts_tracking\n'}
{'SQL:  select first_name from students where current_address_id != permanent_address_id\n', 'Question 561:  What is the first name of the student whose permanent address is different from his or her current one ? ||| student_transcripts_tracking\n'}
{'Question 562:  Which address holds the most number of students currently ? List the address id and all lines . ||| student_transcripts_tracking\n', 'SQL:  select t1.address_id ,  t1.line_1 ,  t1.line_2 from addresses as t1 join students as t2 on t1.address_id  =  t2.current_address_id group by t1.address_id order by count(*) desc limit 1\n'}
{'SQL:  select t1.address_id ,  t1.line_1 ,  t1.line_2 from addresses as t1 join students as t2 on t1.address_id  =  t2.current_address_id group by t1.address_id order by count(*) desc limit 1\n', 'Question 563:  What is the id , line 1 , and line 2 of the address with the most students ? ||| student_transcripts_tracking\n'}
{'Question 564:  On average , when were the transcripts printed ? ||| student_transcripts_tracking\n', 'SQL:  select avg(transcript_date) from transcripts\n'}
{'Question 565:  What is the average transcript date ? ||| student_transcripts_tracking\n', 'SQL:  select avg(transcript_date) from transcripts\n'}
{'SQL:  select transcript_date ,  other_details from transcripts order by transcript_date asc limit 1\n', 'Question 566:  When is the first transcript released ? List the date and details . ||| student_transcripts_tracking\n'}
{'SQL:  select transcript_date ,  other_details from transcripts order by transcript_date asc limit 1\n', 'Question 567:  What is the earliest date of a transcript release , and what details can you tell me ? ||| student_transcripts_tracking\n'}
{'SQL:  select count(*) from transcripts\n', 'Question 568:  How many transcripts are released ? ||| student_transcripts_tracking\n'}
{'SQL:  select count(*) from transcripts\n', 'Question 569:  How many transcripts are listed ? ||| student_transcripts_tracking\n'}
{'SQL:  select transcript_date from transcripts order by transcript_date desc limit 1\n', 'Question 570:  What is the last transcript release date ? ||| student_transcripts_tracking\n'}
{'SQL:  select transcript_date from transcripts order by transcript_date desc limit 1\n', 'Question 571:  When was the last transcript released ? ||| student_transcripts_tracking\n'}
{'Question 572:  How many times at most can a course enrollment result show in different transcripts ? Also show the course enrollment id . ||| student_transcripts_tracking\n', 'SQL:  select count(*) ,  student_course_id from transcript_contents group by student_course_id order by count(*) desc limit 1\n'}
{'SQL:  select count(*) ,  student_course_id from transcript_contents group by student_course_id order by count(*) desc limit 1\n', "Question 573:  What is the maximum number of times that a course shows up in different transcripts and what is that course 's enrollment id ? ||| student_transcripts_tracking\n"}
{'Question 574:  Show the date of the transcript which shows the least number of results , also list the id . ||| student_transcripts_tracking\n', 'SQL:  select t2.transcript_date ,  t1.transcript_id from transcript_contents as t1 join transcripts as t2 on t1.transcript_id  =  t2.transcript_id group by t1.transcript_id order by count(*) asc limit 1\n'}
{'Question 575:  What is the date and id of the transcript with the least number of results ? ||| student_transcripts_tracking\n', 'SQL:  select t2.transcript_date ,  t1.transcript_id from transcript_contents as t1 join transcripts as t2 on t1.transcript_id  =  t2.transcript_id group by t1.transcript_id order by count(*) asc limit 1\n'}
{'Question 576:  Find the semester when both Master students and Bachelor students got enrolled in . ||| student_transcripts_tracking\n', "SQL:  select distinct t2.semester_id from degree_programs as t1 join student_enrolment as t2 on t1.degree_program_id  =  t2.degree_program_id where degree_summary_name  =  'master' intersect select distinct t2.semester_id from degree_programs as t1 join student_enrolment as t2 on t1.degree_program_id  =  t2.degree_program_id where degree_summary_name  =  'bachelor'\n"}
{'Question 577:  What is the id of the semester that had both Masters and Bachelors students enrolled ? ||| student_transcripts_tracking\n', "SQL:  select distinct t2.semester_id from degree_programs as t1 join student_enrolment as t2 on t1.degree_program_id  =  t2.degree_program_id where degree_summary_name  =  'master' intersect select distinct t2.semester_id from degree_programs as t1 join student_enrolment as t2 on t1.degree_program_id  =  t2.degree_program_id where degree_summary_name  =  'bachelor'\n"}
{'SQL:  select count(distinct current_address_id) from students\n', 'Question 578:  How many different addresses do the students currently live ? ||| student_transcripts_tracking\n'}
{'SQL:  select count(distinct current_address_id) from students\n', 'Question 579:  What are the different addresses that have students living there ? ||| student_transcripts_tracking\n'}
{'SQL:  select other_student_details from students order by other_student_details desc\n', 'Question 580:  List all the student details in reversed lexicographical order . ||| student_transcripts_tracking\n'}
{'Question 581:  What other details can you tell me about students in reverse alphabetical order ? ||| student_transcripts_tracking\n', 'SQL:  select other_student_details from students order by other_student_details desc\n'}
{'Question 582:  Describe the section h . ||| student_transcripts_tracking\n', "SQL:  select section_description from sections where section_name  =  'h'\n"}
{'Question 583:  What is the description for the section named h ? ||| student_transcripts_tracking\n', "SQL:  select section_description from sections where section_name  =  'h'\n"}
{'Question 584:  Find the first name of the students who permanently live in the country Haiti or have the cell phone number 09700166582 . ||| student_transcripts_tracking\n', "SQL:  select t1.first_name from students as t1 join addresses as t2 on t1.permanent_address_id  =  t2.address_id where t2.country  =  'haiti' or t1.cell_mobile_number  =  '09700166582'\n"}
{"SQL:  select t1.first_name from students as t1 join addresses as t2 on t1.permanent_address_id  =  t2.address_id where t2.country  =  'haiti' or t1.cell_mobile_number  =  '09700166582'\n", 'Question 585:  What are the first names of the students who live in Haiti permanently or have the cell phone number 09700166582 ? ||| student_transcripts_tracking\n'}
{'Question 586:  List the title of all cartoons in alphabetical order . ||| tvshow\n', 'SQL:  select title from cartoon order by title\n'}
{'Question 587:  What are the titles of the cartoons sorted alphabetically ? ||| tvshow\n', 'SQL:  select title from cartoon order by title\n'}
{'SQL:  select title from cartoon where directed_by = "ben jones";\n', "Question 588:  List all cartoon directed by `` Ben Jones '' . ||| tvshow\n"}
{'SQL:  select title from cartoon where directed_by = "ben jones";\n', 'Question 589:  What are the names of all cartoons directed by Ben Jones ? ||| tvshow\n'}
{'SQL:  select count(*) from cartoon where written_by = "joseph kuhr";\n', "Question 590:  How many cartoons were written by `` Joseph Kuhr '' ? ||| tvshow\n"}
{'SQL:  select count(*) from cartoon where written_by = "joseph kuhr";\n', 'Question 591:  What is the number of cartoones written by Joseph Kuhr ? ||| tvshow\n'}
{'Question 592:  list all cartoon titles and their directors ordered by their air date ||| tvshow\n', 'SQL:  select title ,  directed_by from cartoon order by original_air_date\n'}
{'Question 593:  What is the name and directors of all the cartoons that are ordered by air date ? ||| tvshow\n', 'SQL:  select title ,  directed_by from cartoon order by original_air_date\n'}
{'SQL:  select title from cartoon where directed_by = "ben jones" or directed_by = "brandon vietti";\n', "Question 594:  List the title of all cartoon directed by `` Ben Jones '' or `` Brandon Vietti '' . ||| tvshow\n"}
{'SQL:  select title from cartoon where directed_by = "ben jones" or directed_by = "brandon vietti";\n', 'Question 595:  What are the titles of all cartoons directed by Ben Jones or Brandon Vietti ? ||| tvshow\n'}
{'Question 596:  Which country has the most of TV Channels ? List the country and number of TV Channels it has . ||| tvshow\n', 'SQL:  select country ,  count(*) from tv_channel group by country order by count(*) desc limit 1;\n'}
{'Question 597:  What is the country with the most number of TV Channels and how many does it have ? ||| tvshow\n', 'SQL:  select country ,  count(*) from tv_channel group by country order by count(*) desc limit 1;\n'}
{'Question 598:  List the number of different series names and contents in the TV Channel table . ||| tvshow\n', 'SQL:  select count(distinct series_name) ,  count(distinct content) from tv_channel;\n'}
{'Question 599:  How many different series and contents are listed in the TV Channel table ? ||| tvshow\n', 'SQL:  select count(distinct series_name) ,  count(distinct content) from tv_channel;\n'}
{"Question 600:  What is the content of TV Channel with serial name `` Sky Radio '' ? ||| tvshow\n", 'SQL:  select content from tv_channel where series_name = "sky radio";\n'}
{'SQL:  select content from tv_channel where series_name = "sky radio";\n', 'Question 601:  What is the content of the series Sky Radio ? ||| tvshow\n'}
{'SQL:  select package_option from tv_channel where series_name = "sky radio";\n', "Question 602:  What is the Package Option of TV Channel with serial name `` Sky Radio '' ? ||| tvshow\n"}
{'Question 603:  What are the Package Options of the TV Channels whose series names are Sky Radio ? ||| tvshow\n', 'SQL:  select package_option from tv_channel where series_name = "sky radio";\n'}
{'Question 604:  How many TV Channel using language English ? ||| tvshow\n', 'SQL:  select count(*) from tv_channel where language = "english";\n'}
{'Question 605:  How many TV Channels use the English language ? ||| tvshow\n', 'SQL:  select count(*) from tv_channel where language = "english";\n'}
{'Question 606:  List the language used least number of TV Channel . List language and number of TV Channel . ||| tvshow\n', 'SQL:  select language ,  count(*) from tv_channel group by language order by count(*) asc limit 1;\n'}
{'Question 607:  What are the languages used by the least number of TV Channels and how many channels use it ? ||| tvshow\n', 'SQL:  select language ,  count(*) from tv_channel group by language order by count(*) asc limit 1;\n'}
{'Question 608:  List each language and the number of TV Channels using it . ||| tvshow\n', 'SQL:  select language ,  count(*) from tv_channel group by language\n'}
{'SQL:  select language ,  count(*) from tv_channel group by language\n', 'Question 609:  For each language , list the number of TV Channels that use it . ||| tvshow\n'}
{'SQL:  select t1.series_name from tv_channel as t1 join cartoon as t2 on t1.id = t2.channel where t2.title = "the rise of the blue beetle!";\n', "Question 610:  What is the TV Channel that shows the cartoon `` The Rise of the Blue Beetle ! '' ? List the TV Channel 's series name . ||| tvshow\n"}
{"Question 611:  What is the series name of the TV Channel that shows the cartoon `` The Rise of the Blue Beetle '' ? ||| tvshow\n", 'SQL:  select t1.series_name from tv_channel as t1 join cartoon as t2 on t1.id = t2.channel where t2.title = "the rise of the blue beetle!";\n'}
{'SQL:  select t2.title from tv_channel as t1 join cartoon as t2 on t1.id = t2.channel where t1.series_name = "sky radio";\n', "Question 612:  List the title of all Cartoons showed on TV Channel with series name `` Sky Radio '' . ||| tvshow\n"}
{'SQL:  select t2.title from tv_channel as t1 join cartoon as t2 on t1.id = t2.channel where t1.series_name = "sky radio";\n', "Question 613:  What is the title of all the cartools that are on the TV Channel with the series name `` Sky Radio '' ? ||| tvshow\n"}
{'Question 614:  List the Episode of all TV series sorted by rating . ||| tvshow\n', 'SQL:  select episode from tv_series order by rating\n'}
{'Question 615:  What are all of the episodes ordered by ratings ? ||| tvshow\n', 'SQL:  select episode from tv_series order by rating\n'}
{'SQL:  select episode ,  rating from tv_series order by rating desc limit 3;\n', "Question 616:  List top 3 highest Rating TV series . List the TV series 's Episode and Rating . ||| tvshow\n"}
{'SQL:  select episode ,  rating from tv_series order by rating desc limit 3;\n', 'Question 617:  What are 3 most highly rated episodes in the TV series table and what were those ratings ? ||| tvshow\n'}
{'SQL:  select max(share) , min(share) from tv_series;\n', 'Question 618:  What is minimum and maximum share of TV series ? ||| tvshow\n'}
{'SQL:  select max(share) , min(share) from tv_series;\n', 'Question 619:  What is the maximum and minimum share for the TV series ? ||| tvshow\n'}
{"Question 620:  What is the air date of TV series with Episode `` A Love of a Lifetime '' ? ||| tvshow\n", 'SQL:  select air_date from tv_series where episode = "a love of a lifetime";\n'}
{"Question 621:  When did the episode `` A Love of a Lifetime '' air ? ||| tvshow\n", 'SQL:  select air_date from tv_series where episode = "a love of a lifetime";\n'}
{"Question 622:  What is Weekly Rank of TV series with Episode `` A Love of a Lifetime '' ? ||| tvshow\n", 'SQL:  select weekly_rank from tv_series where episode = "a love of a lifetime";\n'}
{"Question 623:  What is the weekly rank for the episode `` A Love of a Lifetime '' ? ||| tvshow\n", 'SQL:  select weekly_rank from tv_series where episode = "a love of a lifetime";\n'}
{"Question 624:  What is the TV Channel of TV series with Episode `` A Love of a Lifetime '' ? List the TV Channel 's series name . ||| tvshow\n", 'SQL:  select t1.series_name from tv_channel as t1 join tv_series as t2 on t1.id = t2.channel where t2.episode = "a love of a lifetime";\n'}
{"Question 625:  What is the name of the series that has the episode `` A Love of a Lifetime '' ? ||| tvshow\n", 'SQL:  select t1.series_name from tv_channel as t1 join tv_series as t2 on t1.id = t2.channel where t2.episode = "a love of a lifetime";\n'}
{"Question 626:  List the Episode of all TV series showed on TV Channel with series name `` Sky Radio '' . ||| tvshow\n", 'SQL:  select t2.episode from tv_channel as t1 join tv_series as t2 on t1.id = t2.channel where t1.series_name = "sky radio";\n'}
{"Question 627:  What is the episode for the TV series named `` Sky Radio '' ? ||| tvshow\n", 'SQL:  select t2.episode from tv_channel as t1 join tv_series as t2 on t1.id = t2.channel where t1.series_name = "sky radio";\n'}
{'Question 628:  Find the number of cartoons directed by each of the listed directors . ||| tvshow\n', 'SQL:  select count(*) ,  directed_by from cartoon group by directed_by\n'}
{'SQL:  select count(*) ,  directed_by from cartoon group by directed_by\n', 'Question 629:  How many cartoons did each director create ? ||| tvshow\n'}
{'SQL:  select production_code ,  channel from cartoon order by original_air_date desc limit 1\n', 'Question 630:  Find the production code and channel of the most recently aired cartoon . ||| tvshow\n'}
{'SQL:  select production_code ,  channel from cartoon order by original_air_date desc limit 1\n', 'Question 631:  What is the produdction code and channel of the most recent cartoon ? ||| tvshow\n'}
{'SQL:  select package_option ,  series_name from tv_channel where hight_definition_tv  =  "yes"\n', 'Question 632:  Find the package choice and series name of the TV channel that has high definition TV . ||| tvshow\n'}
{'Question 633:  What are the package options and the name of the series for the TV Channel that supports high definition TV ? ||| tvshow\n', 'SQL:  select package_option ,  series_name from tv_channel where hight_definition_tv  =  "yes"\n'}
{"Question 634:  which countries ' tv channels are playing some cartoon written by Todd Casey ? ||| tvshow\n", "SQL:  select t1.country from tv_channel as t1 join cartoon as t2 on t1.id = t2.channel where t2.written_by  =  'todd casey'\n"}
{"SQL:  select t1.country from tv_channel as t1 join cartoon as t2 on t1.id = t2.channel where t2.written_by  =  'todd casey'\n", 'Question 635:  What are the countries that have cartoons on TV that were written by Todd Casey ? ||| tvshow\n'}
{"Question 636:  which countries ' tv channels are not playing any cartoon written by Todd Casey ? ||| tvshow\n", "SQL:  select country from tv_channel except select t1.country from tv_channel as t1 join cartoon as t2 on t1.id = t2.channel where t2.written_by  =  'todd casey'\n"}
{'Question 637:  What are the countries that are not playing cartoons written by Todd Casey ? ||| tvshow\n', "SQL:  select country from tv_channel except select t1.country from tv_channel as t1 join cartoon as t2 on t1.id = t2.channel where t2.written_by  =  'todd casey'\n"}
{"SQL:  select t1.series_name ,  t1.country from tv_channel as t1 join cartoon as t2 on t1.id = t2.channel where t2.directed_by  =  'michael chang' intersect select t1.series_name ,  t1.country from tv_channel as t1 join cartoon as t2 on t1.id = t2.channel where t2.directed_by  =  'ben jones'\n", 'Question 638:  Find the series name and country of the tv channel that is playing some cartoons directed by Ben Jones and Michael Chang ? ||| tvshow\n'}
{"SQL:  select t1.series_name ,  t1.country from tv_channel as t1 join cartoon as t2 on t1.id = t2.channel where t2.directed_by  =  'michael chang' intersect select t1.series_name ,  t1.country from tv_channel as t1 join cartoon as t2 on t1.id = t2.channel where t2.directed_by  =  'ben jones'\n", 'Question 639:  What is the series name and country of all TV channels that are playing cartoons directed by Ben Jones and cartoons directed by Michael Chang ? ||| tvshow\n'}
{"SQL:  select pixel_aspect_ratio_par ,  country from tv_channel where language != 'english'\n", 'Question 640:  find the pixel aspect ratio and nation of the tv channels that do not use English . ||| tvshow\n'}
{'Question 641:  What is the pixel aspect ratio and country of origin for all TV channels that do not use English ? ||| tvshow\n', "SQL:  select pixel_aspect_ratio_par ,  country from tv_channel where language != 'english'\n"}
{'Question 642:  find id of the tv channels that from the countries where have more than two tv channels . ||| tvshow\n', 'SQL:  select id from tv_channel group by country having count(*)  >  2\n'}
{'Question 643:  What are the ids of all tv channels that have more than 2 TV channels ? ||| tvshow\n', 'SQL:  select id from tv_channel group by country having count(*)  >  2\n'}
{"SQL:  select id from tv_channel except select channel from cartoon where directed_by  =  'ben jones'\n", 'Question 644:  find the id of tv channels that do not play any cartoon directed by Ben Jones . ||| tvshow\n'}
{'Question 645:  What are the ids of the TV channels that do not have any cartoons directed by Ben Jones ? ||| tvshow\n', "SQL:  select id from tv_channel except select channel from cartoon where directed_by  =  'ben jones'\n"}
{'Question 646:  find the package option of the tv channel that do not have any cartoon directed by Ben Jones . ||| tvshow\n', "SQL:  select package_option from tv_channel where id not in (select channel from cartoon where directed_by  =  'ben jones')\n"}
{'Question 647:  What are the package options of all tv channels that are not playing any cartoons directed by Ben Jones ? ||| tvshow\n', "SQL:  select package_option from tv_channel where id not in (select channel from cartoon where directed_by  =  'ben jones')\n"}
{'Question 648:  How many poker players are there ? ||| poker_player\n', 'SQL:  select count(*) from poker_player\n'}
{'SQL:  select count(*) from poker_player\n', 'Question 649:  Count the number of poker players . ||| poker_player\n'}
{'SQL:  select earnings from poker_player order by earnings desc\n', 'Question 650:  List the earnings of poker players in descending order . ||| poker_player\n'}
{'Question 651:  What are the earnings of poker players , ordered descending by value ? ||| poker_player\n', 'SQL:  select earnings from poker_player order by earnings desc\n'}
{'SQL:  select final_table_made ,  best_finish from poker_player\n', 'Question 652:  List the final tables made and the best finishes of poker players . ||| poker_player\n'}
{'SQL:  select final_table_made ,  best_finish from poker_player\n', 'Question 653:  What are the final tables made and best finishes for all poker players ? ||| poker_player\n'}
{'SQL:  select avg(earnings) from poker_player\n', 'Question 654:  What is the average earnings of poker players ? ||| poker_player\n'}
{'SQL:  select avg(earnings) from poker_player\n', 'Question 655:  Return the average earnings across all poker players . ||| poker_player\n'}
{'SQL:  select money_rank from poker_player order by earnings desc limit 1\n', 'Question 656:  What is the money rank of the poker player with the highest earnings ? ||| poker_player\n'}
{'Question 657:  Return the money rank of the player with the greatest earnings . ||| poker_player\n', 'SQL:  select money_rank from poker_player order by earnings desc limit 1\n'}
{'Question 658:  What is the maximum number of final tables made among poker players with earnings less than 200000 ? ||| poker_player\n', 'SQL:  select max(final_table_made) from poker_player where earnings  <  200000\n'}
{'Question 659:  Return the maximum final tables made across all poker players who have earnings below 200000 . ||| poker_player\n', 'SQL:  select max(final_table_made) from poker_player where earnings  <  200000\n'}
{'SQL:  select t1.name from people as t1 join poker_player as t2 on t1.people_id  =  t2.people_id\n', 'Question 660:  What are the names of poker players ? ||| poker_player\n'}
{'SQL:  select t1.name from people as t1 join poker_player as t2 on t1.people_id  =  t2.people_id\n', 'Question 661:  Return the names of all the poker players . ||| poker_player\n'}
{'SQL:  select t1.name from people as t1 join poker_player as t2 on t1.people_id  =  t2.people_id where t2.earnings  >  300000\n', 'Question 662:  What are the names of poker players whose earnings is higher than 300000 ? ||| poker_player\n'}
{'Question 663:  Give the names of poker players who have earnings above 300000 . ||| poker_player\n', 'SQL:  select t1.name from people as t1 join poker_player as t2 on t1.people_id  =  t2.people_id where t2.earnings  >  300000\n'}
{'SQL:  select t1.name from people as t1 join poker_player as t2 on t1.people_id  =  t2.people_id order by t2.final_table_made\n', 'Question 664:  List the names of poker players ordered by the final tables made in ascending order . ||| poker_player\n'}
{'SQL:  select t1.name from people as t1 join poker_player as t2 on t1.people_id  =  t2.people_id order by t2.final_table_made\n', 'Question 665:  What are the names of poker players , ordered ascending by the number of final tables they have made ? ||| poker_player\n'}
{'SQL:  select t1.birth_date from people as t1 join poker_player as t2 on t1.people_id  =  t2.people_id order by t2.earnings asc limit 1\n', 'Question 666:  What is the birth date of the poker player with the lowest earnings ? ||| poker_player\n'}
{'Question 667:  Return the birth date of the poker player with the lowest earnings . ||| poker_player\n', 'SQL:  select t1.birth_date from people as t1 join poker_player as t2 on t1.people_id  =  t2.people_id order by t2.earnings asc limit 1\n'}
{'Question 668:  What is the money rank of the tallest poker player ? ||| poker_player\n', 'SQL:  select t2.money_rank from people as t1 join poker_player as t2 on t1.people_id  =  t2.people_id order by t1.height desc limit 1\n'}
{'Question 669:  Return the money rank of the poker player with the greatest height . ||| poker_player\n', 'SQL:  select t2.money_rank from people as t1 join poker_player as t2 on t1.people_id  =  t2.people_id order by t1.height desc limit 1\n'}
{'Question 670:  What is the average earnings of poker players with height higher than 200 ? ||| poker_player\n', 'SQL:  select avg(t2.earnings) from people as t1 join poker_player as t2 on t1.people_id  =  t2.people_id where t1.height  >  200\n'}
{'SQL:  select avg(t2.earnings) from people as t1 join poker_player as t2 on t1.people_id  =  t2.people_id where t1.height  >  200\n', 'Question 671:  Give average earnings of poker players who are taller than 200 . ||| poker_player\n'}
